uid,ID,YEAR,ELECYEAR,NAME,RESPONSE,PREFEC,DISTRICT,PRBLOCK,INCUMB,TERM,PARTY,SEX,AGE,RESULT,prim1,prim2,prim3,camp1,camp2,camp3,coal_lib,coal_dem,coal_kmei,coal_com,coal_soc,coal_koku,constitu,ideology,yn_medconst,yn_reps,yn_const,yn_defense,yn_preemp,yn_unsc,yn_nkorea,yn_smgov,yn_pubspend,yn_fiscalpol,yn_female,yn_tax5yrs,yn_frgnvote,yn_frgnwork,yn_privacy,yn_tax10pc,yn_moral,media_hp,media_sns,media_bul,media_tv,ab_asiaus,ab_compet,ab_env,ab_singlemum,ab_trade,fav_masuzoe,fav_ozawa,fav_watanabe,fav_hashimoto
1953.1,1,2003,,横路孝弘,1,1,1.0,1,,,2,,,,,,,,,,,,,,,,,3,,,,5,5,3,,5,3,2,2,,,,,,,3,,2,,,,,,,,,,
630.1,2,2003,,吉川貴盛,1,1,2.0,1,,,1,,,,,,,,,,,,,,,,,11,,,,2,3,1,,3,3,2,3,,,,,,,0,,2,,,,,,,,,,
2716.1,3,2003,,荒井聡,1,1,3.0,1,,,2,,,,,,,,,,,,,,,,,7,,,,3,2,1,,3,3,1,2,,,,,,,3,,2,,,,,,,,,,
443.1,4,2003,,佐藤静雄,1,1,4.0,1,,,1,,,,,,,,,,,,,,,,,10,,,,2,1,2,,2,2,3,2,,,,,,,5,,2,,,,,,,,,,
2370.1,5,2003,,町村信孝,1,1,5.0,1,,,1,,,,,,,,,,,,,,,,,8,,,,2,2,1,,1,3,5,3,,,,,,,3,,2,,,,,,,,,,
382.1,6,2003,,佐々木秀典,1,1,6.0,1,,,2,,,,,,,,,,,,,,,,,3,,,,5,5,3,,3,2,2,2,,,,,,,0,,2,,,,,,,,,,
3082.1,7,2003,,金田英行,1,1,7.0,1,,,1,,,,,,,,,,,,,,,,,8,,,,2,4,1,,4,2,2,2,,,,,,,0,,2,,,,,,,,,,
0.1,8,2003,,.,9,1,8.0,1,,,99,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
3321.1,9,2003,,鳩山由紀夫,1,1,9.0,1,,,2,,,,,,,,,,,,,,,,,6,,,,3,3,2,,3,3,4,3,,,,,,,3,,3,,,,,,,,,,
1064.1,10,2003,,小平忠正,1,1,10.0,1,,,2,,,,,,,,,,,,,,,,,7,,,,1,2,1,,5,1,2,1,,,,,,,0,,2,,,,,,,,,,
134.1,11,2003,,中川昭一,0,1,11.0,1,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
2001.1,12,2003,,武部勤,1,1,12.0,1,,,1,,,,,,,,,,,,,,,,,3,,,,2,2,1,,2,3,3,1,,,,,,,1,,2,,,,,,,,,,
550.1,13,2003,,北村直人,0,1,13.0,1,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
2130.2,14,2003,,津島雄二,0,2,1.0,2,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
0.2,15,2003,,.,9,2,2.0,2,,,99,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
839.2,16,2003,,大島理森,0,2,3.0,2,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
1613.2,17,2003,,木村太郎,1,2,4.0,2,,,1,,,,,,,,,,,,,,,,,8,,,,1,3,1,,3,2,2,3,,,,,,,5,,4,,,,,,,,,,
2992.3,18,2003,,達増拓也,1,3,1.0,2,,,24,,,,,,,,,,,,,,,,,8,,,,2,2,1,,4,3,2,2,,,,,,,3,,3,,,,,,,,,,
3091.3,19,2003,,鈴木俊一,0,3,2.0,2,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
3340.3,20,2003,,黄川田徹,1,3,3.0,2,,,24,,,,,,,,,,,,,,,,,4,,,,3,3,1,,3,2,2,2,,,,,,,4,,2,,,,,,,,,,
1109.3,21,2003,,小沢一郎,1,3,4.0,2,,,24,,,,,,,,,,,,,,,,,1,,,,9,9,9,,9,9,9,9,,,,,,,2,,2,,,,,,,,,,
328.4,22,2003,,今野東,1,4,1.0,2,,,2,,,,,,,,,,,,,,,,,3,,,,5,5,2,,3,2,3,3,,,,,,,2,,2,,,,,,,,,,
3135.4,23,2003,,鎌田さゆり,1,4,2.0,2,,,2,,,,,,,,,,,,,,,,,5,,,,2,5,2,,2,5,4,2,,,,,,,1,,1,,,,,,,,,,
23.4,24,2003,,三塚博,0,4,3.0,2,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
350.4,25,2003,,伊藤信太郎,0,4,4.0,2,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
932.4,26,2003,,安住淳,1,4,5.0,2,,,2,,,,,,,,,,,,,,,,,7,,,,2,1,3,,4,2,3,2,,,,,,,3,,4,,,,,,,,,,
864.4,27,2003,,大石正光,1,4,6.0,2,,,2,,,,,,,,,,,,,,,,,4,,,,3,4,1,,2,3,4,3,,,,,,,9,,2,,,,,,,,,,
241.5,28,2003,,二田孝治,0,5,1.0,2,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
3036.5,29,2003,,野呂田芳成,0,5,2.0,2,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
1678.5,30,2003,,村岡兼造,1,5,3.0,2,,,1,,,,,,,,,,,,,,,,,4,,,,3,2,2,,3,2,2,3,,,,,,,5,,5,,,,,,,,,,
3337.6,31,2003,,鹿野道彦,0,6,1.0,2,,,13,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
3004.6,32,2003,,遠藤武彦,1,6,2.0,2,,,1,,,,,,,,,,,,,,,,,7,,,,1,2,1,,2,2,3,2,,,,,,,4,,3,,,,,,,,,,
2970.6,33,2003,,近岡理一郎,0,6,3.0,2,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
1535.6,34,2003,,斎藤淳,1,6,4.0,2,,,2,,,,,,,,,,,,,,,,,5,,,,3,4,2,,4,2,2,2,,,,,,,2,,1,,,,,,,,,,
