"uid","ELECYEAR","ID","NAME","RESPONSE","PREFEC","DISTRICT","PRBLOCK","INCUMB","TERM","PARTY","SEX","AGE","RESULT","prim1","prim2","prim3","camp1","camp2","camp3","coal_lib","coal_dem","coal_kmei","coal_com","coal_soc","coal_koku","yn_medconst","yn_reps","yn_const","yn_defense","yn_preemp","yn_unsc","yn_nkorea","yn_smgov","yn_pubspend","yn_fiscalpol","yn_tax5yrs","yn_frgnvote","yn_frgnwork","yn_privacy","yn_tax10pc","yn_moral","ab_asiaus","ab_compet","ab_env","ab_singlemum","ab_trade","fav_masuzoe","fav_ozawa","fav_watanabe","fav_hashimoto","media_hp","media_sns","media_tv"
1877,"2009","1","長谷川＝岳",1,1,1,51,1,0,"自民党",1,37,4,,,,5,3,2,4,3,1,3,3,3,3,3,2,2,5,1,3,4,2,3,2,2,2,3,,,,,1,2,4,50,0,50,50,,,
187,"2009","2","横路＝孝弘",1,1,1,51,3,9,"民主党",1,67,1,,,,3,4,5,,4,,,1,1,4,5,5,5,5,2,3,5,4,2,2,1,4,5,,,,,1,4,3,50,80,50,20,,,
1161,"2009","3","松井＝秀明",1,1,1,,1,0,"共産党",1,40,4,,,,1,2,5,3,3,3,4,3,3,,5,5,5,5,2,5,5,1,3,5,1,2,5,,,,,3,3,1,0,25,0,0,,,
679,"2009","4","高元＝和枝",1,1,1,,1,0,"諸派",2,59,4,,,,1,3,4,2,3,3,3,3,3,1,1,1,1,1,1,1,2,3,1,5,5,1,3,,,,,4,1,5,0,0,50,50,,,
361,"2009","5","吉川＝貴盛",1,1,2,51,3,3,"自民党",1,58,4,,,,5,3,1,4,3,2,3,3,2,3,3,2,2,3,1,2,3,2,2,3,3,3,3,,,,,3,2,2,80,0,50,60,,,
851,"2009","6","三井＝辨雄",1,1,2,51,3,3,"民主党",1,66,1,,,,3,1,5,3,4,3,,,2,3,4,2,5,4,3,2,4,3,2,3,2,3,4,,,,,1,3,3,,100,,,,,
191,"2009","7","岡＝千陽",1,1,2,51,1,0,"共産党",2,45,4,,,,2,3,5,3,3,3,4,3,3,3,5,5,5,5,2,5,5,1,3,5,1,2,5,,,,,3,4,1,10,50,50,50,,,
2361,"2009","8","本田＝由美",1,1,2,51,1,0,"社民党",2,30,4,,,,5,4,2,3,2,3,2,4,2,2,3,4,5,5,4,5,5,2,2,5,2,2,5,,,,,2,5,1,0,0,0,0,,,
955,"2009","9","山本＝志美",1,1,2,,1,0,"諸派",2,42,4,,,,1,3,4,2,3,3,3,3,3,1,1,1,1,1,1,1,3,4,4,5,3,1,3,,,,,5,4,5,10,0,10,50,,,
1471,"2009","10","石崎＝岳",1,1,3,51,3,3,"自民党",1,53,4,,,,,,,4,3,1,3,3,3,5,1,1,3,3,1,2,5,3,,,3,3,3,,,,,3,3,3,,,,,,,
650,"2009","11","荒井＝聰",1,1,3,51,2,4,"民主党",1,62,1,,,,3,4,5,3,4,3,2,2,2,4,3,2,4,4,3,3,5,2,3,4,1,3,4,,,,,3,2,2,25,100,50,50,,,
1288,"2009","12","森山＝佳則",1,1,3,,1,0,"諸派",1,42,4,,,,4,3,2,2,3,3,3,3,3,1,1,1,1,1,1,1,2,3,1,5,5,1,3,,,,,4,1,5,25,0,50,50,,,
453,"2009","13","宮本＝融",1,1,4,51,1,0,"自民党",1,43,4,,,,3,5,2,4,2,1,3,3,2,3,2,2,3,2,1,2,4,3,1,3,5,3,4,,,,,3,4,4,80,25,40,50,,,
2158,"2009","14","鉢呂＝吉雄",1,1,4,51,3,6,"民主党",1,60,1,,,,3,4,2,3,4,2,2,1,1,5,5,5,5,5,2,5,4,2,2,3,1,4,5,,,,,2,5,2,25,100,50,50,,,
1915,"2009","15","鶴見＝俊蔵",1,1,4,,1,0,"諸派",1,55,4,,,,1,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,4,4,5,1,1,3,,,,,3,5,5,30,10,50,50,,,
1865,"2009","16","町村＝信孝",1,1,5,51,3,8,"自民党",1,64,3,,,,5,3,1,4,2,1,3,3,2,2,2,1,1,1,1,2,4,2,1,1,5,5,2,,,,,2,4,2,,,,,,,
1146,"2009","17","小林＝千代美",1,1,5,51,2,1,"民主党",2,40,1,,,,1,3,5,3,4,3,2,2,2,4,5,5,5,5,2,5,5,3,2,5,1,3,5,,,,,1,5,2,0,90,50,50,,,
2149,"2009","18","畑野＝泰紀",1,1,5,,1,0,"諸派",1,42,4,,,,4,3,5,3,3,3,3,3,3,3,2,1,1,1,2,1,1,3,2,5,2,1,3,,,,,2,4,5,40,0,40,50,,,
734,"2009","19","今津＝寛",1,1,6,51,3,4,"自民党",1,62,4,,,,1,2,5,4,2,1,3,3,2,3,2,1,1,2,2,2,3,1,1,3,5,3,3,,,,,2,3,2,80,0,50,50,,,
